1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
660,669,402,1091,429,792,455,940,443,251,252,199,1411,614,304,226,304,1291,1007,448,318,181,258,220,398,1355,1128,680,1192,318,
414,589,228,653,386,728,279,644,292,230,187,177,1256,595,226,180,286,1080,742,430,258,125,242,219,347,1154,1049,551,923,284,
375,588,155,620,234,569,249,604,256,226,163,158,1149,522,222,143,235,943,587,385,251,115,183,197,196,874,847,543,861,279,
306,487,153,590,225,524,191,510,217,195,149,148,993,513,206,139,198,908,526,252,227,101,167,193,188,808,660,511,665,188,
243,429,122,534,196,523,173,504,209,157,141,121,812,511,167,130,194,725,508,195,209,101,128,151,182,750,657,486,616,180,
168,416,121,522,189,464,147,447,196,142,134,96,786,438,160,129,182,649,441,188,187,100,125,145,158,582,587,446,610,160,
164,401,95,503,140,430,96,404,186,117,115,93,782,426,144,124,171,648,416,144,171,99,117,145,157,569,502,404,552,159,
139,392,92,419,132,419,89,385,176,98,99,92,676,425,134,112,169,613,396,137,161,98,112,142,133,526,496,403,474,152,
117,319,79,412,124,417,86,383,165,97,91,91,492,396,133,110,124,523,392,133,138,94,107,140,130,501,472,382,441,148,
81,295,77,375,99,385,86,361,150,92,88,89,466,318,129,110,114,499,376,125,128,62,91,133,122,386,441,328,390,146,
68,263,75,350,91,346,70,355,137,85,85,84,466,304,126,107,109,495,362,122,127,62,88,118,110,383,426,277,370,138,
49,254,62,346,85,324,68,321,134,75,76,81,447,279,113,106,97,390,361,119,111,58,77,97,110,356,390,257,352,128,
45,250,53,339,77,271,65,288,130,71,68,76,405,272,107,74,95,382,346,99,84,54,73,90,106,350,388,255,337,100,
43,217,52,335,68,241,55,260,125,65,61,75,397,264,104,73,90,367,307,92,79,52,70,80,99,346,385,244,312,99,
43,211,40,311,64,217,48,207,115,56,52,53,384,216,94,71,88,367,230,92,76,43,68,75,89,338,378,235,276,93,
39,210,38,307,63,210,47,183,114,55,43,51,371,204,82,68,69,361,226,89,76,38,56,74,80,313,339,230,262,86,
31,189,37,289,48,209,46,174,101,54,36,50,350,191,76,60,63,360,208,85,69,35,56,72,80,286,332,226,251,82,
31,186,31,285,44,195,45,161,100,50,35,47,348,182,75,58,60,359,204,83,68,34,54,70,77,270,331,215,249,71,
21,182,30,280,38,184,38,159,82,41,35,45,340,180,73,54,59,342,194,78,67,33,42,61,66,268,326,213,239,71,
21,181,28,273,36,182,37,157,82,40,28,44,337,150,72,40,50,321,180,66,55,30,40,59,61,267,304,207,237,67,
14,181,26,272,28,181,30,145,76,29,28,44,325,145,68,34,44,297,179,55,52,27,36,51,60,267,302,193,229,55,
11,181,25,253,28,177,27,142,73,26,27,38,317,140,65,29,41,278,174,52,37,22,34,37,59,259,302,191,219,51,
9,177,20,240,27,169,27,140,67,26,25,34,308,140,55,26,39,253,168,52,37,21,31,37,44,253,267,184,212,46,
9,176,20,231,26,152,21,130,65,25,23,33,306,139,53,24,28,248,164,49,35,14,27,36,44,252,256,169,208,41,
8,171,18,225,25,150,21,120,65,21,21,31,290,135,48,16,28,244,153,48,31,13,24,34,37,249,254,167,197,37,
7,166,18,213,25,143,19,119,65,20,20,28,288,133,46,14,27,234,149,43,30,11,16,34,32,243,251,161,177,36,
6,161,17,210,21,142,16,117,63,19,18,27,280,132,42,12,25,228,146,42,29,10,16,27,29,231,242,159,174,34,
6,161,17,204,21,141,14,113,53,18,18,26,276,131,38,11,25,216,144,38,28,7,14,25,26,230,236,157,162,34,
6,155,17,199,14,137,14,112,51,16,17,25,275,130,35,10,24,212,141,37,27,7,12,17,24,227,215,152,162,31,
5,150,17,191,14,137,12,108,46,15,15,21,259,127,32,10,23,202,122,36,23,7,11,17,21,225,215,151,158,31,
